tab 	sites
age	age_high	age_low	age_unit	citations	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1098.1	1098.5	1097.7	Ma	This study	22.0	lt	329.5	57.5	32.0	3	3	3	n	2.9382	0	Intrusive:Igneous	Diabase	35.6869	Diabase	Death Valley	243.57920000000001	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS14-1:CS14-3:CS14-8	CS14	pmagpy-4.2.24-1: demag_gui.v.3.0	CS14-1b:CS14-3b:CS14-8b	32.2	23.6	65.6	168.5
1098.1	1098.5	1097.7	Ma	This study	22.0	lt	59.3	49.0	33.0	3	3	3	n	2.9385	100	Intrusive:Igneous	Diabase	35.6869	Diabase	Death Valley	243.57920000000001	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS14-1:CS14-3:CS14-8	CS14	pmagpy-4.2.24-1: demag_gui.v.3.0	CS14-1b:CS14-3b:CS14-8b	29.1	19.2	40.6	322.4
1098.1	1098.5	1097.7	Ma	This study	12.2	lt	21.0	24.5	31.0	6	6	6	n	5.8394	0	Intrusive:Igneous	Diabase	35.6869	Diabase	Death Valley	243.58010000000002	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS15-1:CS15-3:CS15-4:CS15-6:CS15-7:CS15-8	CS15	pmagpy-4.2.24-1: demag_gui.v.3.0	CS15-1b:CS15-3b:CS15-4b:CS15-6b:CS15-7b:CS15-8b	13.1	7.0	60.3	18.7
1098.1	1098.5	1097.7	Ma	This study	12.2	lt	36.0	-1.7	31.0	6	6	6	n	5.8398	100	Intrusive:Igneous	Diabase	35.6869	Diabase	Death Valley	243.58010000000002	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS15-1:CS15-3:CS15-4:CS15-6:CS15-7:CS15-8	CS15	pmagpy-4.2.24-1: demag_gui.v.3.0	CS15-1b:CS15-3b:CS15-4b:CS15-6b:CS15-7b:CS15-8b	12.2	6.1	40.4	13.0
1098.1	1098.5	1097.7	Ma	This study	10.3	mt	3.9	64.8	80.0	4	4	4	n	3.9625	100	Intrusive:Igneous	Diabase	35.9647	Diabase	Death Valley	243.0909	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS3-2:CS3-4:CS3-5:CS3-6	CS3	pmagpy-4.2.24-1: demag_gui.v.3.0	CS3-2b:CS3-4b:CS3-5b:CS3-6b	16.6	13.3	78.8	257.0
1098.1	1098.5	1097.7	Ma	This study	10.1	lt	39.4	68.2	84.0	4	4	4	n	3.9643	100	Intrusive:Igneous	Diabase	35.9647	Diabase	Death Valley	243.0909	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS3-1:CS3-2:CS3-4:CS3-7	CS3	pmagpy-4.2.24-1: demag_gui.v.3.0	CS3-1b:CS3-2b:CS3-4b:CS3-7b	17.0	14.3	58.1	291.8
1098.1	1098.5	1097.7	Ma	This study	10.4	ht	3.9	65.6	79.0	4	4	4	n	3.9621	100	Intrusive:Igneous	Diabase	35.9647	Diabase	Death Valley	243.0909	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:DE-BFL-O:LP-DC4:DE-FM:DA-DIR-GEO	g	CS3-2:CS3-4:CS3-5:CS3-6	CS3	pmagpy-4.2.24-1: demag_gui.v.3.0	CS3-2b:CS3-4b:CS3-5b:CS3-6b	16.9	13.8	77.8	255.6
1098.1	1098.5	1097.7	Ma	This study	10.1	lt	353.3	59.4	84.0	4	4	4	n	3.9642	0	Intrusive:Igneous	Diabase	35.9647	Diabase	Death Valley	243.0909	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS3-1:CS3-2:CS3-4:CS3-7	CS3	pmagpy-4.2.24-1: demag_gui.v.3.0	CS3-1b:CS3-2b:CS3-4b:CS3-7b	15.2	11.4	83.2	194.0
1098.1	1098.5	1097.7	Ma	This study	10.4	ht	338.2	48.5	79.0	4	4	4	n	3.9622	0	Intrusive:Igneous	Diabase	35.9647	Diabase	Death Valley	243.0909	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:DE-BFL-O:LP-DC4:DE-FM	g	CS3-2:CS3-4:CS3-5:CS3-6	CS3	pmagpy-4.2.24-1: demag_gui.v.3.0	CS3-2b:CS3-4b:CS3-5b:CS3-6b	13.7	9.0	70.6	139.8
1098.1	1098.5	1097.7	Ma	This study	10.3	mt	338.8	47.8	80.0	4	4	4	n	3.9627	0	Intrusive:Igneous	Diabase	35.9647	Diabase	Death Valley	243.0909	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS3-2:CS3-4:CS3-5:CS3-6	CS3	pmagpy-4.2.24-1: demag_gui.v.3.0	CS3-2b:CS3-4b:CS3-5b:CS3-6b	13.4	8.8	70.8	137.5
1098.1	1098.5	1097.7	Ma	This study	12.5	lt	10.4	65.0	39.0	5	5	5	n	4.8967	0	Intrusive:Igneous	Diabase	35.9644	Diabase	Death Valley	243.0943	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS4-1:CS4-3:CS4-4:CS4-5:CS4-6	CS4	pmagpy-4.2.24-1: demag_gui.v.3.0	CS4-1b:CS4-3b:CS4-4b:CS4-5b:CS4-6b	20.2	16.3	76.5	275.0
1098.1	1098.5	1097.7	Ma	This study	12.5	lt	117.4	75.0	39.0	5	5	5	t	4.8966	100	Intrusive:Igneous	Diabase	35.9644	Diabase	Death Valley	243.0943	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS4-1:CS4-3:CS4-4:CS4-5:CS4-6	CS4	pmagpy-4.2.24-1: demag_gui.v.3.0	CS4-1b:CS4-3b:CS4-4b:CS4-5b:CS4-6b	22.8	20.8	20.0	269.6
1098.1	1098.5	1097.7	Ma	This study	12.7	lt	1.3	57.0	29.0	6	6	6	n	5.8251	0	Intrusive:Igneous	Diabase	35.9603	Diabase	Death Valley	243.1196	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS5-1:CS5-3:CS5-4:CS5-5:CS5-6:CS5-8	CS5	pmagpy-4.2.24-1: demag_gui.v.3.0	CS5-1b:CS5-3b:CS5-4b:CS5-5b:CS5-6b:CS5-8b	18.5	13.4	88.1	275.2
1098.1	1098.5	1097.7	Ma	This study	12.7	lt	45.4	23.9	29.0	6	6	6	n	5.825	100	Intrusive:Igneous	Diabase	35.9603	Diabase	Death Valley	243.1196	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS5-1:CS5-3:CS5-4:CS5-5:CS5-6:CS5-8	CS5	pmagpy-4.2.24-1: demag_gui.v.3.0	CS5-1b:CS5-3b:CS5-4b:CS5-5b:CS5-6b:CS5-8b	13.6	7.2	43.0	351.2
1098.1	1098.5	1097.7	Ma	This study	8.4	lt	8.1	63.1	52.0	7	7	7	n	6.8847	0	Intrusive:Igneous	Diabase	35.8154	Diabase	Death Valley	243.6114	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS7-2:CS7-3:CS7-5:CS7-6:CS7-7:CS7-8:CS7-9	CS7	pmagpy-4.2.24-1: demag_gui.v.3.0	CS7-2b:CS7-3b:CS7-5b:CS7-6b:CS7-7b:CS7-8b:CS7-9b	13.2	10.4	79.3	276.3
1098.1	1098.5	1097.7	Ma	This study	33.0	mt	311.9	7.6	59.0	2	2	2	n	1.9832	0	Intrusive:Igneous	Diabase	35.8154	Diabase	Death Valley	243.6114	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4	g	CS7-4:CS7-5	CS7	pmagpy-4.2.24-1: demag_gui.v.3.0	CS7-4b:CS7-5b	33.2	16.7	35.4	129.3
1098.1	1098.5	1097.7	Ma	This study	8.4	lt	75.5	28.8	52.0	7	7	7	t	6.8846	100	Intrusive:Igneous	Diabase	35.8154	Diabase	Death Valley	243.6114	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS7-2:CS7-3:CS7-5:CS7-6:CS7-7:CS7-8:CS7-9	CS7	pmagpy-4.2.24-1: demag_gui.v.3.0	CS7-2b:CS7-3b:CS7-5b:CS7-6b:CS7-7b:CS7-8b:CS7-9b	9.2	5.1	20.5	329.1
1098.1	1098.5	1097.7	Ma	This study	33.0	mt	340.4	58.1	59.0	2	2	2	n	1.9832	100	Intrusive:Igneous	Diabase	35.8154	Diabase	Death Valley	243.6114	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DA-DIR-GEO	g	CS7-4:CS7-5	CS7	pmagpy-4.2.24-1: demag_gui.v.3.0	CS7-4b:CS7-5b	48.7	35.9	74.2	170.2
1098.1	1098.5	1097.7	Ma	This study	13.7	lt	6.9	58.7	17.0	8	8	8	n	7.5937	0	Intrusive:Igneous	Diabase	35.8112	Diabase	Death Valley	243.61450000000002	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS9-1:CS9-2:CS9-3:CS9-4:CS9-5:CS9-6:CS9-7:CS9-8	CS9	pmagpy-4.2.24-1: demag_gui.v.3.0	CS9-1b:CS9-2b:CS9-3b:CS9-4b:CS9-5b:CS9-6b:CS9-7b:CS9-8b	20.4	15.1	83.4	298.0
1098.1	1098.5	1097.7	Ma	This study	32.0	mt	317.5	-5.4	16.0	3	3	3	t	2.874	0	Intrusive:Igneous	Diabase	35.8112	Diabase	Death Valley	243.61450000000002	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	CS9-5:CS9-6:CS9-7	CS9	pmagpy-4.2.24-1: demag_gui.v.3.0	CS9-5b:CS9-6b:CS9-7b	32.1	16.1	34.7	118.8
1098.1	1098.5	1097.7	Ma	This study	13.7	lt	94.9	48.5	17.0	8	8	8	t	7.5946	100	Intrusive:Igneous	Diabase	35.8112	Diabase	Death Valley	243.61450000000002	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS9-1:CS9-2:CS9-3:CS9-4:CS9-5:CS9-6:CS9-7:CS9-8	CS9	pmagpy-4.2.24-1: demag_gui.v.3.0	CS9-1b:CS9-2b:CS9-3b:CS9-4b:CS9-5b:CS9-6b:CS9-7b:CS9-8b	18.0	11.8	13.2	306.6
1098.1	1098.5	1097.7	Ma	This study	32.1	mt	319.5	49.0	16.0	3	3	3	n	2.8738	100	Intrusive:Igneous	Diabase	35.8112	Diabase	Death Valley	243.61450000000002	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	CS9-5:CS9-6:CS9-7	CS9	pmagpy-4.2.24-1: demag_gui.v.3.0	CS9-5b:CS9-6b:CS9-7b	42.4	28.0	55.7	155.5
1082.18	1083.43	1080.93	Ma	This study	5.1	ht	249.6	41.7	326.0	4	4	4	t	3.9908	0	Extrusive:Igneous	Lava Flow	36.283889	Basalt	Grand Canyon	248.108056	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CB1-1:CB1-2:CB1-3:CB1-4	CB1	pmagpy-4.2.24-1: demag_gui.v.3.0	CB1-1a:CB1-2a:CB1-3a:CB1-4a	6.2	3.8	-0.9	189.2
1082.18	1083.43	1080.93	Ma	This study	14.2	lt	349.9	61.2	30.0	5	5	5	n	4.8673	0	Extrusive:Igneous	Lava Flow	36.283889	Basalt	Grand Canyon	248.108056	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CB1-1:CB1-2:CB1-3:CB1-4:CB1-8	CB1	pmagpy-4.2.24-1: demag_gui.v.3.0	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-8a	21.8	16.7	80.2	198.7
1082.18	1083.43	1080.93	Ma	This study	3.9	mt	252.5	40.9	201.0	8	8	8	t	7.9652	0	Extrusive:Igneous	Lava Flow	36.283889	Basalt	Grand Canyon	248.108056	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	CB1-1:CB1-2:CB1-3:CB1-4:CB1-5:CB1-6:CB1-7:CB1-8	CB1	pmagpy-4.2.24-1: demag_gui.v.3.0	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-5a:CB1-6a:CB1-7a:CB1-8a	4.7	2.9	0.7	187.0
1082.18	1083.43	1080.93	Ma	This study	5.1	ht	267.7	52.6	330.0	4	4	4	t	3.9909	100	Extrusive:Igneous	Lava Flow	36.283889	Basalt	Grand Canyon	248.108056	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB1-1:CB1-2:CB1-3:CB1-4	CB1	pmagpy-4.2.24-1: demag_gui.v.3.0	CB1-1a:CB1-2a:CB1-3a:CB1-4a	7.0	4.8	17.3	187.0
1082.18	1083.43	1080.93	Ma	This study	14.2	lt	1.2	43.4	30.0	5	5	5	n	4.8669	100	Extrusive:Igneous	Lava Flow	36.283889	Basalt	Grand Canyon	248.108056	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB1-1:CB1-2:CB1-3:CB1-4:CB1-8	CB1	pmagpy-4.2.24-1: demag_gui.v.3.0	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-8a	17.7	11.0	79.0	62.4
1082.18	1083.43	1080.93	Ma	This study	3.9	mt	270.3	51.1	200.0	8	8	8	t	7.965	100	Extrusive:Igneous	Lava Flow	36.283889	Basalt	Grand Canyon	248.108056	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB1-1:CB1-2:CB1-3:CB1-4:CB1-5:CB1-6:CB1-7:CB1-8	CB1	pmagpy-4.2.24-1: demag_gui.v.3.0	CB1-1a:CB1-2a:CB1-3a:CB1-4a:CB1-5a:CB1-6a:CB1-7a:CB1-8a	5.3	3.6	18.4	184.5
1082.18	1083.43	1080.93	Ma	This study	7.9	lt	357.7	64.7	59.0	7	7	7	n	6.8979	0	Extrusive:Igneous	Lava Flow	36.1075	Basalt	Grand Canyon	248.15111100000001	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10	pmagpy-4.2.24-1: demag_gui.v.3.0	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	12.7	10.2	79.4	239.6
1082.18	1083.43	1080.93	Ma	This study	6.5	mt	265.9	37.1	88.0	7	7	7	t	6.9319	0	Extrusive:Igneous	Lava Flow	36.1075	Basalt	Grand Canyon	248.15111100000001	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10	pmagpy-4.2.24-1: demag_gui.v.3.0	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	7.6	4.5	8.9	177.4
1082.18	1083.43	1080.93	Ma	This study	7.9	lt	359.6	54.4	59.0	7	7	7	n	6.8982	100	Extrusive:Igneous	Lava Flow	36.1075	Basalt	Grand Canyon	248.15111100000001	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10	pmagpy-4.2.24-1: demag_gui.v.3.0	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	11.1	7.8	88.8	83.7
1082.18	1083.43	1080.93	Ma	This study	6.5	mt	273.9	38.0	88.0	7	7	7	t	6.9322	100	Extrusive:Igneous	Lava Flow	36.1075	Basalt	Grand Canyon	248.15111100000001	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB10-1:CB10-2:CB10-4:CB10-5:CB10-6:CB10-7:CB10-8	CB10	pmagpy-4.2.24-1: demag_gui.v.3.0	CB10-1a:CB10-2a:CB10-4a:CB10-5a:CB10-6a:CB10-7a:CB10-8a	7.7	4.5	15.4	173.6
1082.18	1083.43	1080.93	Ma	This study	6.9	lt	13.7	58.2	96.0	6	6	6	n	5.9481	0	Extrusive:Igneous	Lava Flow	36.10815	Basalt	Grand Canyon	248.15112	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11	pmagpy-4.2.24-1: demag_gui.v.3.0	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	10.2	7.5	78.8	319.7
1082.18	1083.43	1080.93	Ma	This study	5.7	mt	244.5	69.6	137.0	6	6	6	t	5.9636	0	Extrusive:Igneous	Lava Flow	36.10815	Basalt	Grand Canyon	248.15112	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11	pmagpy-4.2.24-1: demag_gui.v.3.0	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	9.8	8.4	15.4	214.2
1082.18	1083.43	1080.93	Ma	This study	6.8	lt	11.8	47.9	97.0	6	6	6	n	5.9483	100	Extrusive:Igneous	Lava Flow	36.10815	Basalt	Grand Canyon	248.15112	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11	pmagpy-4.2.24-1: demag_gui.v.3.0	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	8.9	5.8	77.8	10.6
1082.18	1083.43	1080.93	Ma	This study	5.7	mt	274.0	72.4	137.0	6	6	6	t	5.9636	100	Extrusive:Igneous	Lava Flow	36.10815	Basalt	Grand Canyon	248.15112	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB11-2:CB11-4:CB11-5:CB11-6:CB11-7:CB11-8	CB11	pmagpy-4.2.24-1: demag_gui.v.3.0	CB11-2a:CB11-4a:CB11-5a:CB11-6a:CB11-7a:CB11-8a	10.1	8.9	31.9	209.2
1082.18	1083.43	1080.93	Ma	This study	5.5	ht	262.7	33.8	102.0	8	8	8	t	7.9311	0	Extrusive:Igneous	Lava Flow	36.11	Basalt	Grand Canyon	248.14694400000002	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CB12-1:CB12-2:CB12-3:CB12-4:CB12-5:CB12-6:CB12-7:CB12-8	CB12	pmagpy-4.2.24-1: demag_gui.v.3.0	CB12-1a:CB12-2a:CB12-3a:CB12-4a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	6.3	3.6	5.1	177.3
1082.18	1083.43	1080.93	Ma	This study	4.7	lt	4.9	61.0	164.0	7	7	7	n	6.9635	0	Extrusive:Igneous	Lava Flow	36.11	Basalt	Grand Canyon	248.14694400000002	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CB12-1:CB12-2:CB12-3:CB12-5:CB12-6:CB12-7:CB12-8	CB12	pmagpy-4.2.24-1: demag_gui.v.3.0	CB12-1a:CB12-2a:CB12-3a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	7.2	5.5	82.9	279.3
1082.18	1083.43	1080.93	Ma	This study	4.0	mt	259.9	40.0	193.0	8	8	8	t	7.9636	0	Extrusive:Igneous	Lava Flow	36.11	Basalt	Grand Canyon	248.14694400000002	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	CB12-1:CB12-2:CB12-3:CB12-4:CB12-5:CB12-6:CB12-7:CB12-8	CB12	pmagpy-4.2.24-1: demag_gui.v.3.0	CB12-1a:CB12-2a:CB12-3a:CB12-4a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	4.8	2.9	5.6	182.3
1082.18	1083.43	1080.93	Ma	This study	5.5	ht	269.8	35.3	102.0	8	8	8	t	7.9312	100	Extrusive:Igneous	Lava Flow	36.11	Basalt	Grand Canyon	248.14694400000002	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB12-1:CB12-2:CB12-3:CB12-4:CB12-5:CB12-6:CB12-7:CB12-8	CB12	pmagpy-4.2.24-1: demag_gui.v.3.0	CB12-1a:CB12-2a:CB12-3a:CB12-4a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	6.4	3.7	11.2	174.2
1082.18	1083.43	1080.93	Ma	This study	4.7	lt	4.9	50.5	166.0	7	7	7	n	6.9638	100	Extrusive:Igneous	Lava Flow	36.11	Basalt	Grand Canyon	248.14694400000002	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CB12-1:CB12-2:CB12-3:CB12-5:CB12-6:CB12-7:CB12-8	CB12	pmagpy-4.2.24-1: demag_gui.v.3.0	CB12-1a:CB12-2a:CB12-3a:CB12-5a:CB12-6a:CB12-7a:CB12-8a	6.3	4.2	83.6	26.8
