age,plat,plon,a95
719,6.7,162.1,3.0
755,7.5,163.6,4.2
759,1.9,160.6,2.1
780,3.2,151.5,8.0
887,-25.2,143.4,12.9
990,-14.2,186.2,2.7
1045,4.7,169.8,2.1
1075,1.2,179.7,2.4
1077,3.9,180.4,1.7
1082,15.9,183.9,7.4
1084,17.1,174.8,4.4
1086,23.1,185.7,3.3
1090,27.1,187.8,3.0
1092,27.1,183.0,2.4
1094,31.2,183.2,2.5
1095,35.1,180.1,1.9
1096,30.7,185.3,7.5
1098,30.6,177.4,8.9
1100,36.1,189.7,4.9
1105,37.5,205.2,4.5
1105,42.3,203.4,3.7
1107,47.2,206.5,4.8
1107,42.7,211.3,8.2
1108,47.2,217.8,4.0
1108,40.9,218.6,4.8
1109,49.5,227.0,5.3
1141,50.4,213.4,12.6
1144,57.9,223.3,9.2
1160,34.79729523307706,221.48495916968284,5.7
1163,43.92482431678137,219.54030917430364,9.2
1163,44.42532400296051,207.425328009396,13.1
1184,34.1,215.6,9.6
1184,31.8,225.7,10.6
1235,-2.5,192.8,2.5
1267,4.0,190.0,5.0
1271,12.369181412531649,189.8238514632814,5.9
1271,6.673330862830156,194.0841564155118,5.5
1275,7.379614635480414,186.26778716099554,3.2
1275,16.91339325891049,190.84856921943367,8.3
1305,11.8,206.8,2.5
1385,-20.6,217.6,7.9
1392,-14.3,210.2,7.9
1427,-13.6,215.5,8.2
1430,-10.4,217.9,5.9
1441,-1.4,205.1,7.3
1449,-25.2,212.1,3.3
1458,-16.4,216.1,7.3
1466,-12.1,219.1,6.0
1469,-1.4,217.8,4.3
1590,9.2,245.5,4.3
1635,1.6276932959632793,261.9729494900735,9.3
1740,19.4,276.7,6.1
1779,20.5,265.8,4.5
